Number,Gender,GivenName,MiddleInitial,Surname,StreetAddress,City,State,ZipCode,Country,EmailAddress,TelephoneNumber,Birthday,CCType,DollarsSpent,WebVisits
111,female,Laura,K,Carr,3945 Gateway Road,Portland,OR,97225,US,Laura.K.Carr@yahoo.com,503-292-7437,3/14/1959,MasterCard,421.68,15
112,female,Rebecca,H,Depalma,3445 Bee Street,Grand Rapids,MI,49503,US,Rebecca.H.Depalma@outlook.com,231-785-8583,12/7/1981,MasterCard,319.28,16
113,female,Jennifer,L,Lee,1314 Mount Street,LONG LAKE (ALPENA),MI,49707,US,Jennifer.L.Lee@gmail.com,989-595-1609,6/2/1973,MasterCard,218.87,20
114,female,Jessie,B,Jones,1830 John Avenue,East Lansing,MI,48823,US,Jessie.B.Jones@gmail.com,517-900-8369,9/18/1949,MasterCard,696.39,24
115,female,Catherine,R,Frey,4870 Richland Avenue,Houston,TX,77002,US,Catherine.R.Frey@gmail.com,281-299-4535,9/26/1952,Visa,516.61,1
116,male,Bryant,J,Mercado,299 Clarksburg Park Road,Phoenix,AZ,85003,US,Bryant.J.Mercado@outlook.com,928-273-6606,6/27/1944,Visa,11.27,27
117,male,Danny,T,Steed,63 Wright Court,Birmingham,AL,35203,US,Danny.T.Steed@gmail.com,205-909-7408,8/24/1955,Visa,651.19,19
118,female,Margaret,W,Scheer,3558 Reppert Coal Road,Utica,MI,48317,US,Margaret.W.Scheer@gmail.com,586-991-1777,5/16/1980,Visa,283.28,8
119,male,Charles,A,Wilt,138 Short Street,Austin,TX,78741,US,Charles.A.Wilt@gmail.com,512-879-7280,6/2/1973,Visa,716.96,18
120,female,Lori,C,Mccaw,4822 Masonic Drive,Bozeman,MT,59715,US,Lori.C.Mccaw@gmail.com,406-548-1369,3/26/1960,Visa,828.41,18
121,female,Judith,R,Mount,1476 Viking Drive,Worthington,OH,43085,US,Judith.R.Mount@gmail.com,740-715-8022,3/10/1974,Visa,242.69,12
122,female,Rita,J,Stanley,1288 Raccoon Run,Des Moines,WA,98198,US,Rita.J.Stanley@gmail.com,206-824-9659,9/25/1975,Visa,868.98,21
123,male,Jerry,V,Feldman,4954 Hartland Avenue,New Berlin,WI,53151,US,Jerry.V.Feldman@gmail.com,920-296-4514,2/20/1964,MasterCard,121.37,20
124,female,Rebecca,H,Moran,149 Angie Drive,ORANGE,CA,92668,US,Rebecca.H.Moran@outlook.com,714-980-7329,3/1/1958,Visa,765.99,10
125,male,Scott,V,Haupt,2897 Marietta Street,Santa Rosa,CA,95401,US,Scott.V.Haupt@yahoo.com,707-591-3950,4/3/1983,MasterCard,76.66,22
126,male,Robert,W,Marchant,840 Mulberry Street,Houston,TX,77032,US,Robert.W.Marchant@outlook.com,936-714-6003,12/29/1985,Visa,520.94,22
127,female,Crystal,J,Rowland,2402 Brentwood Drive,GRANGER,TX,76530,US,Crystal.J.Rowland@outlook.com,512-859-2443,6/18/1951,Visa,8.5,7
128,female,Judith,A,Armstrong,2395 Ray Court,Fayetteville,NC,28301,US,Judith.A.Armstrong@gmail.com,910-257-6590,12/18/1944,MasterCard,101.36,23
129,male,Stephen,R,Fisher,3144 Maple Lane,Huntsville,AL,35802,US,Stephen.R.Fisher@gmail.com,256-468-9015,10/12/1984,Visa,53.67,13
130,male,Jacob,J,Mcneill,2126 Mcwhorter Road,Greenwood,MS,38930,US,Jacob.J.Mcneill@yahoo.com,662-514-2649,10/7/1942,MasterCard,954.26,23
131,female,Angelita,A,Roberts,3877 Brookview Drive,Jasper,TX,75951,US,Angelita.A.Roberts@yahoo.com,409-381-8202,9/15/1948,MasterCard,349.5,15
132,female,Betty,R,Reeve,2467 Joes Road,Albany,NY,12207,US,Betty.R.Reeve@outlook.com,518-744-5136,2/26/1982,Visa,663.68,27
133,male,Weldon,L,Mcbride,2658 Cambridge Court,CLARKSVILLE,AR,72830,US,Weldon.L.Mcbride@outlook.com,479-847-4968,9/5/1966,Visa,293.43,12
134,female,Eleanor,H,Hayes,4391 Davis Lane,Denver,CO,80218,US,Eleanor.H.Hayes@gmail.com,720-424-7345,11/29/1954,MasterCard,659.74,29
135,female,Leticia,L,Mendez,1019 Robinson Lane,Delaware,OH,43015,US,Leticia.L.Mendez@gmail.com,740-363-5995,1/11/1985,MasterCard,297.59,22
136,male,William,V,Lapointe,4636 Progress Way,FINLAYSON,MN,55735,US,William.V.Lapointe@outlook.com,320-233-6647,3/19/1980,Visa,603.82,7
137,female,Frances,W,Porter,4628 Rhode Island Avenue,Washington,DC,20024,US,Frances.W.Porter@yahoo.com,202-358-9411,12/16/1970,MasterCard,655.7,29
138,female,Kathleen,M,Mishler,3782 Center Street,Eugene,OR,97408,US,Kathleen.M.Mishler@gmail.com,541-981-6937,7/8/1945,Visa,398.47,28
139,female,Naomi,C,Holmquist,4332 Ryan Road,BALTIC,SD,57003,US,Naomi.C.Holmquist@gmail.com,605-529-4367,8/19/1979,Visa,80.87,2
140,male,Timothy,N,Perez,2147 Whiteman Street,VILLAS,NJ,8251,US,Timothy.N.Perez@gmail.com,609-886-3195,2/28/1974,Visa,526.72,15
141,female,Luz,W,Beaver,1265 Mandan Road,Columbia,MO,65201,US,Luz.W.Beaver@gmail.com,573-817-7940,9/1/1943,Visa,415.55,14
142,female,Dorothy,A,Wagstaff,4792 Edgewood Road,BRADLEY,AR,71826,US,Dorothy.A.Wagstaff@yahoo.com,870-894-7175,6/18/1974,Visa,596.63,4
143,female,Virginia,N,Mckinney,1673 Harry Place,Charlotte,NC,28208,US,Virginia.N.Mckinney@yahoo.com,704-839-5172,10/27/1956,MasterCard,938.54,17
144,female,Ali,A,Binder,4767 Gnatty Creek Road,New York,NY,10013,US,Ali.A.Binder@yahoo.com,516-345-9706,1/26/1984,Visa,816.71,3
145,male,Christopher,T,Weeks,2776 Irving Place,Ronkonkoma,NY,11779,US,Christopher.T.Weeks@gmail.com,631-981-2068,4/30/1983,MasterCard,834.59,27
146,female,Elvira,S,Reed,3987 Rodney Street,Saint Louis,MO,63101,US,Elvira.S.Reed@gmail.com,636-565-7818,12/10/1979,Visa,676.8,11
147,male,Harry,E,Buchanan,4026 Adamsville Road,Mcallen,TX,78501,US,Harry.E.Buchanan@outlook.com,956-668-2428,4/10/1961,MasterCard,480.44,25
148,female,Amy,W,Tobey,630 Duke Lane,SAYREVILLE,NJ,8879,US,Amy.W.Tobey@gmail.com,732-721-9752,11/19/1951,Visa,366.62,13
149,female,Estella,L,Mendes,1117 Hazelwood Avenue,ANKENY,IA,50021,US,Estella.L.Mendes@yahoo.com,515-289-7978,3/26/1948,Visa,880.5,8
150,female,Margaret,J,Ferguson,3932 Hart Street,Wallingford,CT,6492,US,Margaret.J.Ferguson@gmail.com,860-235-0317,3/13/1942,Visa,859.41,16
151,female,Mary,J,Clarke,518 Blue Spruce Lane,Baltimore,MD,21212,US,Mary.J.Clarke@gmail.com,410-323-9707,10/23/1941,MasterCard,158.8,21
152,male,William,D,Stinson,4391 Clover Drive,Fountain,CO,80817,US,William.D.Stinson@gmail.com,719-322-3672,3/23/1950,Visa,596.94,9
153,female,Angela,D,Horton,953 Eagle Street,Fairview Heights,IL,62208,US,Angela.D.Horton@gmail.com,618-325-2777,7/31/1981,Visa,391.34,6
154,male,William,L,Crowe,2662 Cemetery Street,Salinas,CA,93901,US,William.L.Crowe@gmail.com,831-771-6499,5/9/1957,Visa,530.72,20
155,male,John,J,Lee,3004 Plainfield Avenue,EVANS MILLS,NY,13637,US,John.J.Lee@gmail.com,315-629-5735,3/3/1973,MasterCard,703.47,2
156,female,Jennifer,D,Ferguson,3152 Matthews Street,Chicago,IL,60631,US,Jennifer.D.Ferguson@yahoo.com,815-603-9344,10/30/1965,Visa,966.4,23
157,female,Edith,J,Thornton,4333 Nutter Street,WELLINGTON,MO,64097,US,Edith.J.Thornton@gmail.com,816-240-1922,2/12/1985,MasterCard,541.97,26
158,female,Tamara,K,Leasure,1876 Lowland Drive,Braidwood,IL,60408,US,Tamara.K.Leasure@gmail.com,815-417-9439,3/23/1969,MasterCard,706.28,17
159,female,Claribel,A,Anders,3974 Golf Course Drive,Alexandria,VA,22312,US,Claribel.A.Anders@gmail.com,703-320-8972,8/15/1964,MasterCard,866.25,12
160,female,Shana,R,Pierce,2386 Hannah Street,Asheville,NC,28801,US,Shana.R.Pierce@outlook.com,828-384-5642,4/8/1975,Visa,854.34,4
161,female,Marguerite,G,Medford,4339 Hiney Road,Las Vegas,NV,89109,US,Marguerite.G.Medford@gmail.com,702-264-7469,5/30/1943,Visa,387.8,9
162,female,Sandra,R,Villarreal,2276 Settlers Lane,New York,NY,10013,US,Sandra.R.Villarreal@gmail.com,917-796-1341,11/16/1967,Visa,500.18,25
163,male,Rickey,N,Janousek,2945 Pine Garden Lane,NELSON,GA,30107,US,Rickey.N.Janousek@gmail.com,770-735-9286,7/2/1979,Visa,26.94,9
164,male,Lesley,J,Stanley,3756 Lakeland Park Drive,Atlanta,GA,30303,US,Lesley.J.Stanley@outlook.com,770-581-6995,2/14/1983,Visa,22.19,16
165,male,Wilson,B,Mickey,2578 August Lane,Monroe,LA,71201,US,Wilson.B.Mickey@outlook.com,318-398-9811,9/14/1977,MasterCard,165.74,7
166,female,Tamara,P,Lord,3403 Elk City Road,Indianapolis,IN,46268,US,Tamara.P.Lord@gmail.com,317-956-3431,3/13/1985,MasterCard,677.13,9
167,female,Stephanie,J,Brown,1557 Bagwell Avenue,Gainesville,FL,32641,US,Stephanie.J.Brown@yahoo.com,352-745-3796,7/20/1947,MasterCard,652.57,29
